,name,num
162,使用虚假身份证件、盗用身份证件罪 ,116
163,非法携带枪支、弹药、管制刀具、危险物品危及公共安全罪 ,114
164,破坏交通设施罪 ,114
165,组织淫秽表演罪 ,111
166,生产、销售伪劣农药、兽药、化肥、种子罪 ,103
167,收买被拐卖的妇女、儿童罪 ,101
168,危险物品肇事罪 ,98
169,走私废物罪 ,96
170,过失损坏广播电视设施、公用电信设施罪 ,93
171,徇私舞弊不移交刑事案件罪 ,91
172,伪造、倒卖伪造的有价票证罪 ,91
173,虚假出资、抽逃出资罪 ,89
174,侮辱罪 ,89
175,提供侵入、非法控制计算机信息系统程序、工具罪 ,81
176,窃取、收买、非法提供信用卡信息罪 ,79
177,招收公务员、学生徇私舞弊罪 ,76
178,伪造货币罪 ,74
179,挪用特定款物罪 ,73
180,伪造、变造、买卖武装部队公文、证件、印章罪 ,71
181,盗窃、抢夺枪支、弹药、爆炸物、危险物质罪 ,71
182,代替考试罪 ,71
183,强迫劳动罪 ,71
184,非法生产、买卖警用装备罪 ,71
185,传播性病罪 ,70
186,利用影响力受贿罪 ,69
187,诽谤罪 ,68
188,聚众哄抢罪 ,63
189,组织考试作弊罪 ,61
190,过失投放危险物质罪 ,55
191,过失损坏武器装备、军事设施、军事通信罪 ,54
192,高利转贷罪 ,54
193,传授犯罪方法罪 ,53
194,包庇毒品犯罪分子罪 ,51
195,非法购买增值税专用发票、购买伪造的增值税专用发票罪 ,50
196,国有公司、企业、事业单位人员滥用职权罪 ,49
197,食品监管渎职罪 ,47
198,倒卖文物罪 ,47
199,强迫他人吸毒罪 ,45
200,非法买卖、运输、携带、持有毒品原植物种子、幼苗罪 ,42
201,虐待罪 ,41
202,骗取出口退税罪 ,37
203,金融凭证诈骗罪 ,36
204,打击报复证人罪 ,36
205,倒卖车票、船票罪 ,35
206,破坏交通工具罪 ,35
207,国有公司、企业、事业单位人员失职罪 ,33
208,虐待被监管人罪 ,33
209,徇私舞弊不征、少征税款罪 ,31
210,扰乱法庭秩序罪 ,31
211,生产、销售不符合安全标准的产品罪 ,30
212,盗窃、抢夺、毁灭国家机关公文、证件、印章罪 ,30
213,提供虚假证明文件罪 ,28
214,故意泄露国家秘密罪 ,28
215,侵犯商业秘密罪 ,28
216,非法集会、游行、示威罪 ,28
217,失职致使在押人员脱逃罪 ,28
218,虚假诉讼罪 ,28
219,徇私舞弊减刑、假释、暂予监外执行罪 ,26
220,骗取出境证件罪 ,24
221,非法使用窃听、窃照专用器材罪 ,23
222,伪造、出售伪造的增值税专用发票罪 ,22
223,环境监管失职罪 ,22
