,Unnamed: 0,name,num,rate
100,100,非法出售发票罪 ,205,0.00010257164629493702
101,101,拐骗儿童罪 ,193,9.656745236547728e-05
102,102,遗弃罪 ,190,9.506640388311235e-05
103,103,聚众冲击国家机关罪 ,187,9.356535540074742e-05
104,104,非法组织卖血罪 ,179,8.956255944777427e-05
105,105,非法获取国家秘密罪 ,172,8.606011298892277e-05
106,106,强迫卖淫罪 ,169,8.455906450655783e-05
107,107,动植物检疫徇私舞弊罪 ,169,8.455906450655783e-05
108,108,破坏计算机信息系统罪 ,166,8.30580160241929e-05
109,109,对单位行贿罪 ,160,8.005591905946303e-05
110,110,帮助犯罪分子逃避处罚罪 ,149,7.455207462412495e-05
111,111,巨额财产来源不明罪 ,117,5.854089081223234e-05
112,112,破坏交通设施罪 ,114,5.703984232986741e-05
113,113,组织淫秽表演罪 ,111,5.553879384750248e-05
114,114,危险物品肇事罪 ,98,4.903425042392111e-05
115,115,走私废物罪 ,96,4.803355143567782e-05
116,116,徇私舞弊不移交刑事案件罪 ,91,4.55318039650696e-05
117,117,侮辱罪 ,89,4.4531104976826315e-05
118,118,伪造货币罪 ,74,3.7025862565001655e-05
119,119,挪用特定款物罪 ,73,3.652551307088001e-05
120,120,代替考试罪 ,71,3.5524814082636725e-05
121,121,强迫劳动罪 ,71,3.5524814082636725e-05
122,122,传播性病罪 ,70,3.5024464588515075e-05
123,123,利用影响力受贿罪 ,69,3.452411509439343e-05
124,124,诽谤罪 ,68,3.402376560027179e-05
125,125,聚众哄抢罪 ,63,3.152201812966357e-05
126,126,组织考试作弊罪 ,61,3.052131914142028e-05
127,127,过失投放危险物质罪 ,55,2.7519222176690418e-05
128,128,高利转贷罪 ,54,2.7018872682568775e-05
129,129,传授犯罪方法罪 ,53,2.651852318844713e-05
130,130,包庇毒品犯罪分子罪 ,51,2.5517824200203844e-05
131,131,倒卖文物罪 ,47,2.3516426223717266e-05
132,132,食品监管渎职罪 ,47,2.3516426223717266e-05
133,133,强迫他人吸毒罪 ,45,2.251572723547398e-05
134,134,虐待罪 ,41,2.0514329258987402e-05
135,135,骗取出口退税罪 ,37,1.8512931282500828e-05
136,136,金融凭证诈骗罪 ,36,1.8012581788379184e-05
137,137,打击报复证人罪 ,36,1.8012581788379184e-05
138,138,破坏交通工具罪 ,35,1.7512232294257537e-05
139,139,虐待被监管人罪 ,33,1.651153330601425e-05
140,140,扰乱法庭秩序罪 ,31,1.5510834317770963e-05
141,141,侵犯商业秘密罪 ,28,1.400978583540603e-05
142,142,失职致使在押人员脱逃罪 ,28,1.400978583540603e-05
143,143,提供虚假证明文件罪 ,28,1.400978583540603e-05
144,144,故意泄露国家秘密罪 ,28,1.400978583540603e-05
145,145,虚假诉讼罪 ,28,1.400978583540603e-05
146,146,骗取出境证件罪 ,24,1.2008387858919455e-05
147,147,环境监管失职罪 ,22,1.1007688870676168e-05
148,148,工程重大安全事故罪 ,21,1.0507339376554523e-05
149,149,洗钱罪 ,21,1.0507339376554523e-05
150,150,违法发放林木采伐许可证罪 ,20,1.000698988243288e-05
151,151,非法出售增值税专用发票罪 ,20,1.000698988243288e-05
152,152,医疗事故罪 ,20,1.000698988243288e-05
153,153,过失损坏电力设备罪 ,19,9.506640388311236e-06
154,154,消防责任事故罪 ,19,9.506640388311236e-06
155,155,销售侵权复制品罪 ,18,9.006290894189592e-06
156,156,故意损毁文物罪 ,18,9.006290894189592e-06
157,157,投放虚假危险物质罪 ,18,9.006290894189592e-06
158,158,出具证明文件重大失实罪 ,15,7.50524241182466e-06
159,159,组织未成年人进行违反治安管理活动罪 ,15,7.50524241182466e-06
160,160,出售出入境证件罪 ,14,7.004892917703015e-06
161,161,扰乱国家机关工作秩序罪 ,13,6.504543423581372e-06
162,162,聚众淫乱罪 ,13,6.504543423581372e-06
163,163,非法侵入计算机信息系统罪 ,13,6.504543423581372e-06
164,164,刑讯逼供罪 ,13,6.504543423581372e-06
165,165,走私贵重金属罪 ,12,6.0041939294597275e-06
166,166,过失爆炸罪 ,12,6.0041939294597275e-06
167,167,教育设施重大安全事故罪 ,11,5.503844435338084e-06
168,168,破坏军婚罪 ,11,5.503844435338084e-06
169,169,逃避追缴欠税罪 ,10,5.00349494121644e-06
170,170,信用证诈骗罪 ,10,5.00349494121644e-06
171,171,走私制毒物品罪 ,10,5.00349494121644e-06
172,172,组织出卖人体器官罪 ,10,5.00349494121644e-06
173,173,劫夺被押解人员罪 ,10,5.00349494121644e-06
174,174,有价证券诈骗罪 ,10,5.00349494121644e-06
175,175,虚假广告罪 ,10,5.00349494121644e-06
176,176,违规出具金融票证罪 ,10,5.00349494121644e-06
177,177,私放在押人员罪 ,9,4.503145447094796e-06
178,178,吸收客户资金不入账罪 ,9,4.503145447094796e-06
179,179,危害公共安全罪 ,9,4.503145447094796e-06
180,180,利用未公开信息交易罪 ,8,4.002795952973152e-06
181,181,过失损毁文物罪 ,8,4.002795952973152e-06
182,182,放纵走私罪 ,7,3.5024464588515077e-06
183,183,擅自设立金融机构罪 ,6,3.0020969647298637e-06
184,184,非法搜查罪 ,6,3.0020969647298637e-06
185,185,非法经营同类营业罪 ,6,3.0020969647298637e-06
186,186,非法利用信息网络罪 ,5,2.50174747060822e-06
187,187,放纵制售伪劣商品犯罪行为罪 ,5,2.50174747060822e-06
188,188,变造货币罪 ,5,2.50174747060822e-06
189,189,过失损坏易燃易爆设备罪 ,5,2.50174747060822e-06
190,190,破坏选举罪 ,5,2.50174747060822e-06
191,191,为亲友非法牟利罪 ,5,2.50174747060822e-06
192,192,阻碍军人执行职务罪 ,4,2.001397976486576e-06
193,193,非法处置进口的固体废物罪 ,4,2.001397976486576e-06
194,194,引诱幼女卖淫罪 ,4,2.001397976486576e-06
195,195,走私淫秽物品罪 ,4,2.001397976486576e-06
196,196,强令违章冒险作业罪 ,4,2.001397976486576e-06
197,197,煽动分裂国家罪 ,4,2.001397976486576e-06
198,198,帮助信息网络犯罪活动罪 ,4,2.001397976486576e-06
199,199,非法低价出让国有土地使用权罪 ,4,2.001397976486576e-06
200,200,骗购外汇罪 ,3,1.5010484823649319e-06
201,201,组织越狱罪 ,3,1.5010484823649319e-06
202,202,对有影响力的人行贿罪 ,3,1.5010484823649319e-06
203,203,假冒专利罪 ,3,1.5010484823649319e-06
204,204,颠覆国家政权罪 ,2,1.000698988243288e-06
205,205,侵犯通信自由罪 ,2,1.000698988243288e-06
206,206,传染病防治失职罪 ,2,1.000698988243288e-06
207,207,煽动颠覆国家政权罪 ,2,1.000698988243288e-06
208,208,过失损坏交通设施罪 ,2,1.000698988243288e-06
209,209,引诱未成年人聚众淫乱罪 ,2,1.000698988243288e-06
210,210,阻碍军事行动罪 ,2,1.000698988243288e-06
211,211,煽动暴力抗拒法律实施罪 ,2,1.000698988243288e-06
212,212,暴力取证罪 ,2,1.000698988243288e-06
213,213,聚众扰乱军事管理区秩序罪 ,2,1.000698988243288e-06
214,214,妨害清算罪 ,2,1.000698988243288e-06
215,215,过失决水罪 ,2,1.000698988243288e-06
216,216,组织播放淫秽音像制品罪 ,1,5.00349494121644e-07
217,217,渎职罪 ,1,5.00349494121644e-07
218,218,扰乱公共秩序罪 ,1,5.00349494121644e-07
219,219,强迫卖血罪 ,1,5.00349494121644e-07
220,220,走私假币罪 ,1,5.00349494121644e-07
221,221,雇用童工从事危重劳动罪 ,1,5.00349494121644e-07
222,222,隐瞒境外存款罪 ,1,5.00349494121644e-07
223,223,过失泄露国家秘密罪 ,1,5.00349494121644e-07
224,224,逃汇罪 ,1,5.00349494121644e-07
225,225,嫖宿幼女罪 ,1,5.00349494121644e-07
226,226,大型群众性活动重大安全事故罪 ,1,5.00349494121644e-07
227,227,商检徇私舞弊罪 ,1,5.00349494121644e-07
228,228,铁路运营安全事故罪 ,1,5.00349494121644e-07
229,229,商检失职罪 ,1,5.00349494121644e-07
230,230,办理偷越国（边）境人员出入境证件罪 ,1,5.00349494121644e-07
231,231,破坏性采矿罪 ,1,5.00349494121644e-07
